TRIP_ID,anomaly_score,a_speed,a_idle,a_distance,a_shape,a_drift,dist_km,speed,max_seg,sinuosity,start_lat,start_lon,end_lat,end_lon
1396444676620000386,4,True,False,True,True,True,1229.27,8940.2,147345.8,971.96,41.154858,-8.630694,41.158917,-8.644806
1382735628620000243,4,True,False,True,True,True,1207.35,1704.5,140863.9,657.28,41.146371,-8.611632,41.154453,-8.630766
1385492955620000311,4,True,False,True,True,True,894.22,1324.8,105826.9,257.44,41.148792,-8.653977,41.141367,-8.613684
1392569513620000048,4,True,False,True,True,True,808.69,7763.4,97032.8,166.01,41.14611,-8.617572,41.144778,-8.559423
1391085706620000902,4,True,False,True,True,True,670.82,81.4,260.0,65.7,41.157567,-8.680986,41.070501,-8.642286
1391442237620000902,4,True,False,True,True,True,642.21,57.6,769.9,694.68,41.154831,-8.672364,41.158863,-8.682021
1383726165620000276,4,True,False,True,True,True,635.52,62.0,337.4,403.78,41.157072,-8.646318,41.163435,-8.663112
1384508845620000041,4,True,False,True,True,True,607.44,123.0,147.6,151.27,41.147496,-8.606628,41.121945,-8.572743
1383573495620000370,4,True,False,True,True,True,595.9,154.8,38724.4,97.62,41.148558,-8.585667,41.181192,-8.527032
1399045289620000319,4,True,False,True,True,True,580.48,1908.4,69053.5,121.37,41.161455,-8.656821,41.163354,-8.599743
1398871039620000902,4,True,False,True,True,True,574.86,79.2,396.3,176.79,41.160906,-8.641062,41.156757,-8.67951
1376043326620000902,4,True,False,True,True,True,566.75,79.9,709.6,61.51,41.096781,-8.592165,41.169114,-8.645823
1394745898620000243,4,True,False,True,True,True,526.88,2810.0,63347.3,55.99,41.164875,-8.58321,41.18166,-8.693415
1384983229620000904,4,True,False,True,True,True,468.97,57.8,25860.6,216.08,41.145714,-8.610894,41.156235,-8.58906
1399637052620000095,4,True,False,True,True,True,456.77,88.3,38339.8,158.43,41.134428,-8.644689,41.156298,-8.626194
1387801862620000041,4,True,False,True,True,True,441.77,212.5,50644.2,67.03,41.148738,-8.607114,41.205519,-8.584533
1382523501620000902,4,True,False,True,True,True,428.46,40.4,200.1,95.74,41.167413,-8.649504,41.13774,-8.613396
1379054919620000502,4,True,False,True,True,True,428.28,64.2,424.3,312.75,41.155353,-8.644023,41.155614,-8.62767
1376810486620000156,4,True,False,True,True,True,427.55,110.2,23772.5,1566.22,41.210847,-8.556606,41.208966,-8.558703
1372934636620000178,4,True,False,True,True,True,425.28,109.2,22865.2,6790.25,41.144661,-8.60661,41.144535,-8.605881
1403283450620000001,4,True,False,True,True,True,423.15,95.3,8057.2,46.25,41.147604,-8.609085,41.196933,-8.521596
1376731098620000500,4,True,False,True,True,True,394.33,61.4,18317.6,893.69,41.145381,-8.583255,41.148909,-8.585667
1403017490620000510,4,True,False,True,True,True,382.43,80.5,6574.1,48.67,41.234328,-8.669988,41.167899,-8.637975
1373460005620000230,4,True,False,True,True,True,380.23,58.5,10089.2,644.05,41.182686,-8.599914,41.187645,-8.597394
1380446286620000496,4,True,False,True,True,True,356.81,39.4,1266.3,120.05,41.170878,-8.596062,41.146362,-8.61021
1395225082620000024,4,True,False,True,True,True,337.56,71.4,380.9,4565.59,41.160663,-8.636526,41.160204,-8.635887
1392227681620000902,4,True,False,True,True,True,336.36,42.2,821.0,333.13,41.160978,-8.640756,41.167179,-8.649567
1399913203620000332,4,True,False,True,True,True,332.53,158.7,31859.5,74.9,41.148828,-8.585721,41.130315,-8.53875
1382690836620000359,4,True,False,True,True,True,322.97,53.8,24133.3,301.17,41.149287,-8.611425,41.148261,-8.59869
1394120983620000693,4,True,False,True,True,True,305.79,56.8,1709.1,63.09,41.172651,-8.594955,41.154309,-8.647479
1373456526620000902,4,True,False,True,True,True,304.56,59.2,11703.0,308.72,41.161572,-8.640342,41.166882,-8.649783
1378888819620000902,4,True,False,True,True,True,304.47,30.2,259.2,56.37,41.184828,-8.623413,41.174622,-8.686512
1385987769620000455,4,True,False,True,True,True,302.68,49.5,391.0,32.73,41.169249,-8.648622,41.207112,-8.550207
1393308421620000579,4,True,False,True,True,True,297.33,90.1,637.7,117.22,41.15925,-8.597646,41.181309,-8.605359
1400832448620000693,4,True,False,True,True,True,297.25,72.9,1268.3,30.52,41.205402,-8.546067,41.173758,-8.654589
1400233396620000455,4,True,False,True,True,True,295.05,123.8,214.9,76.74,41.145489,-8.610858,41.170752,-8.642214
1392450276620000351,4,True,False,True,True,True,295.0,143.9,29857.2,25.99,41.237289,-8.670186,41.145498,-8.610867
1397812579620000196,4,True,False,True,True,True,289.42,112.6,28122.7,89.94,41.160231,-8.609868,41.180904,-8.582967
1388220860620000144,4,True,False,True,True,True,288.17,26.1,218.1,191.61,41.156316,-8.621415,41.145354,-8.610894
1388300954620000510,4,True,False,True,True,True,287.87,55.9,25338.6,24.48,41.143491,-8.603352,41.236668,-8.669862
1393490287620000351,4,True,False,True,True,True,285.79,190.5,28711.5,31.66,41.235804,-8.669061,41.209155,-8.567127
1383210124620000042,4,True,False,True,True,True,281.24,26.8,236.2,62.04,41.179743,-8.592858,41.159808,-8.640099
1399527461620000008,4,True,False,True,True,True,276.84,54.8,341.2,29.11,41.148585,-8.585685,41.183172,-8.689572
1381823353620000902,4,True,False,True,True,True,270.77,52.1,18879.6,39.06,41.174145,-8.654256,41.235417,-8.63892
1399979015620000681,4,True,False,True,True,True,270.72,130.2,22745.7,114.58,41.162094,-8.592948,41.182821,-8.599158
1381415960620000363,4,True,False,True,True,True,270.46,115.9,26078.8,90.07,41.160492,-8.609544,41.183379,-8.5905
1378546711620000534,4,True,False,True,True,True,267.5,55.8,6344.8,69.55,41.165883,-8.588682,41.199003,-8.575434
1399810532620000153,4,True,False,True,True,True,266.8,55.3,219.0,476.24,41.146434,-8.631279,41.150952,-8.63424
1382340719620000668,4,True,False,True,True,True,266.45,96.0,5338.2,203.41,41.144481,-8.604801,41.148207,-8.619642
1378743633620000250,4,True,False,True,True,True,266.44,81.4,27693.9,261.06,41.146119,-8.617689,41.15466,-8.613225
